2017-03-31 15:14:16.561 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:14:16.569 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 25 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:14:16.569 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 25 ] - 副董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:14:16.570 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 25 ] - 副董事长 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:16:43.620 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:16:43.627 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 25 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:17:08.769 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 25 ] - 副董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:17:08.770 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 25 ] - 副董事长 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:17:36.463 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:17:36.469 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:17:36.469 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:17:36.469 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:17:56.441 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:17:56.447 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:18:11.455 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:18:11.455 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
2017-03-31 15:18:24.106 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.DirectorApprover : 26 ] - 主任 审批采购单：10001, 金额：4000.0 元, 采购目的: 购买倚天剑
2017-03-31 15:18:24.110 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10002, 金额：6000.0 元, 采购目的: 购买《葵花宝典》
2017-03-31 15:18:24.111 [ main ] - [ INFO  ] [ c.test.design.cor.hello.impl.VicePresidentApprover : 26 ] - 副董事长 审批采购单：10003, 金额：10000.0 元, 采购目的: 购买《金刚经》
2017-03-31 15:18:24.111 [ main ] - [ INFO  ] [ com.test.design.cor.hello.impl.CongressApprover : 25 ] - 召开董事会 审批采购单：10004, 金额：800000.0 元, 采购目的: 购买桃花岛
